Models,Accuracy,Precision,Recall,F1,AUC,PRAUC,Threshold,PonderatedScore
LogisticRegression,0.8626457171819564,0.5393794749403341,0.743421052631579,0.6251728907330567,0.8138914729904448,0.44051976204575105,0.1870343299660573,0.7467725498247725
GradientBoosting,0.8661936137861125,0.5487804878048781,0.7401315789473685,0.6302521008403361,0.8146433808457634,0.44621031632429325,0.2095610594835888,0.7517333555831256
RandomForest,0.8631525595539787,0.5408653846153846,0.7401315789473685,0.625,0.8128458973226957,0.44035209850312207,0.24575479221174767,0.7503417475396125
XGBoost,0.8763304612265586,0.5806451612903226,0.7105263157894737,0.6390532544378699,0.8085285862949765,0.4571657959705601,0.087783074721694,0.7456708226083063
LightGBM,0.8479472883933097,0.5040650406504065,0.8157894736842105,0.6231155778894473,0.8347970735706852,0.4395941270480541,0.255331969634332,0.7620825040852957
